PAGE_NUMBER,MANUFACTURER,YEAR,MODEL,ENGINE,OIL
6,ACURA,2020,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2020,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2020,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2019,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2019,MDX,V6 3.0L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
6,ACURA,2019,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2019,RDX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2019,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2019,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2019,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,MDX,V6 3.0L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
6,ACURA,2018,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2017,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2017,MDX,V6 3.0L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
6,ACURA,2017,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2023,MDX,V6 3.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2023,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2023,RDX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2023,TLX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2023,TLX,V6 3.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2022,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2022,MDX,V6 3.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2022,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2022,RDX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2022,TLX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2022,TLX,V6 3.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2021,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2021,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2021,RDX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2021,TLX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2021,TLX,V6 3.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2020,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2020,MDX,V6 3.0L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2020,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2020,RDX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2020,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2020,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2020,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2019,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2019,MDX,V6 3.0L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
6,ACURA,2019,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2019,RDX,4 cyl. 2.0L F.I. Turbo,"['M1-110', 'M1-110A']"
6,ACURA,2019,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2019,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2019,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,MDX,V6 3.0L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
6,ACURA,2018,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2018,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2017,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
6,ACURA,2017,MDX,V6 3.0L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
6,ACURA,2017,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2017,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2017,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2017,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2017,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2017,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,ILX,4 cyl. 1.5L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
7,ACURA,2015,ILX,4 cyl. 2.0L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,ILX,4 cyl. 1.5L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
7,ACURA,2014,ILX,4 cyl. 2.0L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,TSX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,ILX,4 cyl. 1.5L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
7,ACURA,2013,ILX,4 cyl. 2.0L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,TSX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,ZDX,V6 3.7L F.I. (J37A5) (VTEC),"['M1-110', 'M1-110A']"
7,ACURA,2012,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2012,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
7,ACURA,2017,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2017,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2017,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2017,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2016,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,ILX,4 cyl. 1.5L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
7,ACURA,2015,ILX,4 cyl. 2.0L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,TLX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2015,TLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,ILX,4 cyl. 1.5L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
7,ACURA,2014,ILX,4 cyl. 2.0L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,MDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,RLX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2014,TSX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,ILX,4 cyl. 1.5L F.I. (Electric/Gas),"['M1-110', 'M1-110A']"
7,ACURA,2013,ILX,4 cyl. 2.0L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,ILX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,RDX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,TSX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2013,ZDX,V6 3.7L F.I. (J37A5) (VTEC),"['M1-110', 'M1-110A']"
7,ACURA,2012,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
7,ACURA,2012,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
8,ACURA,2012,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
8,ACURA,2012,RL,V6 3.7L F.I. (J37A2) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2012,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2012,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2012,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2012,TSX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2012,ZDX,V6 3.7L F.I. (J37A5) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2011,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2011,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2011,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
8,ACURA,2011,RL,V6 3.7L F.I. (J37A2) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2011,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2011,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2011,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2011,TSX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2011,ZDX,V6 3.7L F.I. (J37A5) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2010,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2010,CSX,4 cyl. 2.0L F.I. (K20Z3) (i-VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2010,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2010,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
8,ACURA,2010,RL,V6 3.7L F.I. (J37A2) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2010,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2010,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2010,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2010,TSX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2010,ZDX,V6 3.7L F.I. (J37A5) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2009,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2009,CSX,4 cyl. 2.0L F.I. (K20Z3) (i-VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2009,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2009,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
8,ACURA,2009,RL,V6 3.7L F.I. (J37A2) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2009,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2009,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2009,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2008,CSX,4 cyl. 2.0L F.I. (K20Z3) (i-VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2008,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2008,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2008,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
8,ACURA,2008,RL,V6 3.5L F.I. (J35A8) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2008,TL,V6 3.2L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2008,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2012,RL,V6 3.7L F.I. (J37A2) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2012,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2012,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2012,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2012,TSX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2012,ZDX,V6 3.7L F.I. (J37A5) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2011,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2011,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2011,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
8,ACURA,2011,RL,V6 3.7L F.I. (J37A2) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2011,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2011,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2011,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2011,TSX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2011,ZDX,V6 3.7L F.I. (J37A5) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2010,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2010,CSX,4 cyl. 2.0L F.I. (K20Z3) (i-VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2010,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2010,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
8,ACURA,2010,RL,V6 3.7L F.I. (J37A2) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2010,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2010,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2010,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2010,TSX,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2010,ZDX,V6 3.7L F.I. (J37A5) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2009,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2009,CSX,4 cyl. 2.0L F.I. (K20Z3) (i-VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2009,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2009,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
8,ACURA,2009,RL,V6 3.7L F.I. (J37A2) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2009,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2009,TL,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2009,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2008,CSX,4 cyl. 2.0L F.I. (K20Z3) (i-VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2008,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
8,ACURA,2008,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2008,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
8,ACURA,2008,RL,V6 3.5L F.I. (J35A8) (VTEC),"['M1-110', 'M1-110A']"
8,ACURA,2008,TL,V6 3.2L F.I.,"['M1-110', 'M1-110A']"
8,ACURA,2008,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2008,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2008,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2007,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
9,ACURA,2007,CSX,4 cyl. 2.0L F.I. (K20Z3) (i-VTEC) (Canada),"['M1-110', 'M1-110A']"
9,ACURA,2007,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2007,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
9,ACURA,2007,RL,V6 3.5L F.I. (J35A8) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2007,TL,V6 3.2L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2007,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2007,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2006,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
9,ACURA,2006,MDX,V6 3.5L F.I. (J35A5) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2006,RL,V6 3.5L F.I. (J35A8) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2006,RSX,4 cyl. 2.0L F.I. (K20A3) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2006,RSX,4 cyl. 2.0L F.I. (K20Z1) (VTEC) Type-S,"['M1-110', 'M1-110A']"
9,ACURA,2006,TL,V6 3.2L F.I. (J32A3) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2006,TSX,4 cyl. 2.4L F.I. (K24A2) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2005,EL,4 cyl. 1.7L F.I. (SOHC) (Canada),"['M1-110', 'M1-110A']"
9,ACURA,2005,MDX,V6 3.5L F.I. (J35A5) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2005,RL,V6 3.5L F.I. (J35A8) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2005,RSX,4 cyl. 2.0L F.I. (K20A3) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2005,RSX,4 cyl. 2.0L F.I. (K20Z1) (VTEC) Type-S,"['M1-110', 'M1-110A']"
9,ACURA,2005,TL,V6 3.2L F.I. (J32A3) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2005,TSX,4 cyl. 2.4L F.I. (K24A2) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2004,MDX,V6 3.5L F.I. (J35A5) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2004,RSX,4 cyl. 2.0L F.I. (K20A3) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2004,RSX,4 cyl. 2.0L F.I. (K20A2) (VTEC) Type-S,"['M1-110', 'M1-110A']"
9,ACURA,2004,TL,V6 3.2L F.I. (J32A3) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2004,TSX,4 cyl. 2.4L F.I. (K24A2) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2003,MDX,V6 3.5L F.I. (J35A5) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2003,RSX,4 cyl. 2.0L F.I. (K20A3) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2003,RSX,4 cyl. 2.0L F.I. (K20A2) (VTEC) Type-S,"['M1-110', 'M1-110A']"
9,ACURA,2008,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2007,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
9,ACURA,2007,CSX,4 cyl. 2.0L F.I. (K20Z3) (i-VTEC) (Canada),"['M1-110', 'M1-110A']"
9,ACURA,2007,MDX,V6 3.7L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2007,RDX,4 cyl. 2.3L F.I. Turbo,"['M1-110', 'M1-110A']"
9,ACURA,2007,RL,V6 3.5L F.I. (J35A8) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2007,TL,V6 3.2L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2007,TL,V6 3.5L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2007,TSX,4 cyl. 2.4L F.I.,"['M1-110', 'M1-110A']"
9,ACURA,2006,CSX,4 cyl. 2.0L F.I. (K20Z2) (VTEC) (Canada),"['M1-110', 'M1-110A']"
9,ACURA,2006,MDX,V6 3.5L F.I. (J35A5) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2006,RL,V6 3.5L F.I. (J35A8) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2006,RSX,4 cyl. 2.0L F.I. (K20A3) (VTEC),"['M1-110', 'M1-110A']"
9,ACURA,2006,RSX,4 cyl. 2.0L F.I. (K20Z1) (VTEC) Type-S,"['M1-110', 'M1-110A']"
