,household_number,source,provenance,declarant_name,declarant_name_parsed,declarant_id,name_of_family_members,name_of_non_family_members,slaves,declarant_occupation,verif_photo,discussion
10,75 Ar-2,P.Harr. I 70 = SB XVIII 13324 (cf. Cd'E 23 [1948] 123 [BL 3.78]; BL,"Arsinoe, 75/6 or 76/7","Aphrodous d. Chairas, with kyrios kinsman Herakleides s. Herakleides",['Aphrodous'],['75 Ar-2-d1'],"['(1) Hermas s. NN (s. Hermas) and Hero (d. NN), age lost', '(2) NN. s. Hennas [no.l] and Heraklous [no.5], 17', '(3) Hera— s. Hermas [no.l] and Heraklous [no.5], 15', '(4) NN, s. Hermas [no.l] and Heraklous [no.5], 11', '(5) Heraklous wife of Hermas [no.l], age lost']",[],[],,"Birmingham, Selly Oak, inv. 27; plate in Cd'E 23 (1948) fig. 10","Broken at right and bottom with loss of much information about per- sons declared. Copy of a supplementary return covering a house occupied by renters; she had registered separately her own residence. See BASP 28 (1991) 5-6 for a detailed attempt to unravel the identities of the persons men- tioned. There could have been another son between nos. 3 and 4 (thus between 11 and 15 in age), and daughters may be lost after the mother [no.5]."
11,75-Ar-3,P.Minnesota inv. 1381982,"Arsinoe, 75/6 or 76/7",Chairemon s. M[ (?),['Chairemon'],['75-Ar-3-d1'],"['(1) ?Aphrodisios s. Aphrodisios and Thermoutharion, age lost']",[],[],,"Minneapolis/St. Paul, University of Minnesota Library; photograph;","Preserved in two fragments broken on all sides with a gap between them. There is much uncertainty in the reconstruction, but it appears that this was a declaration of a household containing only lodgers; only of the first of these is any of the name preserved."
12,75 Ox-1,P.Oxy. II 361 descr.,"Oxyrhynchos, 76/7","NN and NN, sons (?) of Sirion","['NN', 'NN']","['75 Ox-1-d1', '75 Ox-1-d2']","['(1) NN [declarant] s. (?) of Sirion, age lost', '(2) NN [declarant] s. (?) of Sirion, 62', '(3) Sirion the elder s. NN (no.l?) and S—eus, 16', '(4) Sirion the younger s. NN (no.l?) and S—eus, 4', '(5) NN s./d. NN and Sarallion (d. Sirion), age lost']",[],[],,"Oxford, Bodleian Library; photo in Ashmolean, seen 5/4/1991.","The top of the document is lost, with opening statements. The household is probably complete, but the loss of the right side makes the information about the males incomplete. The relationships as shown are thus somewhat uncertain."
13,89 At 1,SB XIV 12110 = ZPE 25 (1977) 137,"Antaiopolite, 90/91",Psais s. Herakles,['Psais'],['89 At 1-d1'],[],[],[],,"P.Mich, inv. 4315; seen 9/11/1990.","Complete on all sides except at bottom, where the entire listing of per- sons has been lost."
14,89-Ar-l,P.Mich. Ill 176 (cf. BL 7.108),"Bacchias (Arsinoite), 10/5/91","Peteuris s. Horos (s. Horos) and Herieus (d. Menches), public farmer",['Peteuris'],['89-Ar-l-d1'],"['(1) Peteuris [declarant] s. Horos (s. Horos) and Herieus (d. Menches), public farmer, 30', '(2) Tapeine d. Apkois, wife of Peteuris [declarant], 25', '(3) Horos s. Horos (s. Horos) and Herieus (d. Menches), brother of Peteuris [declarant], 20', '(4) Horion s. Horos (s. Horos) and Herieus (d. Menches), brother of Peteuris [declarant], 7']",[],[],public farmer,"P.Mich, inv. 104; seen 9/11/1990.","Complete with a few small breaks and some abrasion. The family is known from several other documents; an extensive stemma on P.Mich. Ill, p. 180. For the following declarations of this household, see 103-Ar-8 and 117- Ar-4."
15,89-Hm-l,P.Hamb. I 60 (= CPJud. HI 485),"Hermopolis, 7 or 10/12/90",Pascheis s. Kapais (s. Sambathios) and Chenanoupis (d. Pascheis),['Pascheis'],['89-Hm-l-d1'],"['(1) Pascheis [declarant] s. Kapais (s. Sambathios) and Chenanoupis (d. Pascheis), age lost', '(2) Harpaesis s. Pascheis [declarant] and Taurous (d. Tithoes), lathe turner, age lost', '(3) Inarous s. Pascheis [declarant] and Taurous (d. Tithoes), doctor, 20', '(4) Tothes s. Inarous [no.3] and Tapsotis (d. Diskas), 1', '(5) Taseus, d. Pascheis [declarant] and Taurous (d. Tithoes), 17', '(6) Tanarous, d. Pascheis [declarant] and Taurous (d. Tithoes), 14']",[],[],,"Hamburg, inv. 318; photograph.","Damaged at both sides. The edition in CPJud. contributes no improve- ments. There is a lacuna of 5 letters before the two women's names, but no compounds of these names are known, and we cannot tell what stood there (if anything). The uncompounded names are attested. The sequence and phras- ing of nos. 5-6 would lead one to think that they were daughters of no. 3, but this clearly cannot be the case."
16,103 Ar 1,"PSIIX 1062 (cf. BL 3.227, 8.405)","Arsinoe, 104/5",NN s. NN (s. —on) and Megiste (d. Horigenes),['NN'],['103 Ar 1-d1'],"['(1) NN [declarant] s. NN (s. —on) and Megiste (d. Horigenes), age lost', '(2) Eudaimonis d. NN and NN, wife of declarant, idiotis, 26', '(3) NN [prob. male], s. NN [declarant] and Eudaimonis [no. 2], age lost', '(4) Didymos, s. NN [declarant] and Eudaimonis [no. 2], 1', '(5) Tasoucharion, d. NN [declarant] and Eudaimonis [no. 2], 8']","['(1) Ptolemaios s. Petheus, idiotes, age lost', '(2) Samb[ ], wife of Ptolemaios [no.l], age lost', '(3) Horos, son of Ptolemaios [no.l] and Samb[ ] [no.2], age lost', '(4) — s.? of Onnophris, idiotes, 18', '(5) NN s.? Ptolemaios and Helene (d. Kastor), age lost', '(6) —arion, full sister and wife of NN [no.5], 35 (45 poss., but 35 better)', '(7) NN, child of NN [no.5] and —arion [no.6], age lost', '(8) NN, child of NN [no.5] and —arion [no.6], age lost', '(9) NN, identity unknown, ?34 (1st digit probable, 2nd certain)']","['(1) Isidora, age lost']",,"Florence, Biblioteca Laurenziana; seen 25/5/1989.","Broken at left and below; probably no names lost at bottom, but mas- sive damage at left makes reconstruction uncertain. Above omits lines 30-35 because too fragmentary. It is not clear if all of these lived in the same house; the fragmentary remains suggest possibly more than one household."
17,103 Ar-2,PSIX 1136 (cf. BL 8.407),"Tebtunis (Arsinoite), 104/5",Vestinus s. Herakleides (s. Orseus) and Taapis,['Vestinus'],['103 Ar-2-d1'],[' None preserved'],[],[],,"Florence, Biblioteca Laurenziana; seen 25/5/1989.",Broken at the bottom before reaching the list of persons declared; many holes in what survives. It is not certain that anybody was declared. The suggestion in BL for the date is wrong.
18,103 Ar 3,P.Corn. 16.1-13 (sec BASP2S [1991] 19-27),"Arsinoe, 104/5",Name lost,['Name lost'],['103 Ar 3-d1'],"['(1) NN s. NN and Leontous, idiotes, 46', '(2) NN s. NN [no.l] and NN [no.5], 16', '(3) NN s. NN [no.l] and NN [no.5], 10', '(4) NN s. NN [no.l] and NN [no.5], 3', '(5) NN d. NN and Leontous, wife and full sister of NN [no.l], 43', '(6) NN d. NN [no.l] and NN [no.5], 20', '(7) NN d. NN [no.l] and NN [no.5], 14', '(8) NN d. NN [no.l] and NN [no.5], 7', '(9) NN d. NN [no.l] and NN [no.5], [.]2']",[],[],,"Michigan, P.Corn. inv. II, 16; seen 9/11/1990.","Mentioned in the introduction to the first edition but not published. The relationships (and for the most part the sex) of the children are deduced from their position. This is an extract, most of which is lost at left; it is uncertain if it began on a preceding column. If a digit is in fact lost in no.9, this could be a slave rather than another child."
19,103-Ar-4,SB VI 9639 (cf. BL 5.118),"Arsinoe, 104/5",NN s. Demetrios,['NN'],['103-Ar-4-d1'],"['(1) NN s. Onesimos, age lost']",[],[],,"St. Petersburg, Hermitage, inv. 8431; photograph.","Broken at top, at both sides, and at bottom, where almost all of the listing of persons is lost; there was at least one additional person. The declarant is registering a house and its renters, not his own residence (for which he submitted another declaration)."
20,103-Ar 5,"P.Lond. II 476a (p. 61) (cf. BL 3.94, BASP2S [1991] 124-25)","Arsinoe, 105 (?)",Name lost,['Name lost'],['103-Ar 5-d1'],"['(1) Leontas s. Chairemon (s. —on) and Thermoutharion (d. —on), idioteSy 21', '(2) Thaisas, d. Chairemon (s. —on) and Thermoutharion (d. —on), sister and wife of Leontas [no.l], 18', '(3) Theogeiton, s. Leontas [no.l] and Thaisas [no.2], age lost']",[],[],,"London, BL inv. 476a; microfilm; original seen, 2/4/1991.","Broken at top, with loss of declarant's name; broken at bottom, but since vlov is singular and Theogeiton is firj ocpayeypafifxevov iv emyeyevrinevoK;, probably no names are lost. This is evidently a family of renters. The second digit of Leontas' age is uncertain."
21,103-Ar 6,"P.Lond. Ill 1119a (p. 25) = CPJud. II 430 (cf. BL 1.274, 3.96, 4.44)#","Theadelphia (Arsinoite), 105","NN d. Iesous and Ta—, with kyrios her husband Agathonikos",['NN'],['103-Ar 6-d1'],"['(1) NN s. —archos and Marous, 35', '(2) NN, 29']",[],[],,"London, BL inv. 1119a; microfilm; original seen 2/4/1991.","Damaged at left and broken below, with considerable loss. Declarant is registering renters in property owned by her. It is not certain that there was not a third person mentioned (in line 12); the papyrus is very damaged at this point. If the editor's /xiyr(p6g) rrjq] avT(fjq) with the second person is correct, he or she was a sibling of no.l."
22,103-Ar-7,P. Oxf. 8,"Arsinoe, 104/5","Athenais d. Isidoros (s. Asklepiades) and Ptolema alias Athenarion (d. NN alias Sarapion), daughter of a katoikos of the 6475, with as kyrios her husband NN s. Heliodoros (s. Euboulos) and Herakleia (d. He—)",['Athenais'],['103-Ar-7-d1'],"['(1) Athenarion (sic) [declarant], d. Isidoros (s. Asklepiades) and Ptolema alias Athenarion (d. NN alias Sarapion), age lost', '(2) NN s. Heliodoros (s. Euboulos) and Herakleia (d. He—), husband of Athenarion [declarant], katoikos, [56]', '(3) Heliodoros s. NN [no.2] and Athenarion [declarant, no.l], 8', '(4) Isidoros s. NN [no.2] and Athenarion [declarant, no.l], 1']",[],[],,P.Ashm.inv. 8; PL VIII; seen 4/4/1991.,"Complete at top and bottom, partially complete at left, substantial loss at right in most lines. The husband's age is restored from the date given for his epikrisis in year 9 of Nero, 62/3, presumably at age 14. The readings of the children's ages are secure, and confirmed by the dates of their registra- tion at birth (also partially preserved)."
23,103-Ar-8,P.Mich. Ill 177 (cf. BL 7.108)0,"Bacchias (Arsinoite), 1/12/104","Peteuris s. Horos (s. Horos) and Herieus (d. Menches), public farmer",['Peteuris'],['103-Ar-8-d1'],"['(1) Peteuris [declarant] s. Horos (s. Horos) and Herieus (d. Menches), public farmer, 44', '(2) Horos s. Horos (s. Horos) and Herieus (d. Menches), brother of Peteuris [declarant], 34', '(3) Horion s. Horos (s. Horos) and Herieus (d. Menches), brother of Peteuris [declarant], 21', '(4) Thenatymis d. Chariton and Tapetosiris, wife of Horion [no.3], 25']",[],[],public farmer,"P.Mich, inv. 105; seen 9/11/1990.","Complete except for a narrow center strip where the two halves have separated. For previous declaration of this household, see 89-Ar-l; for the following, see 117-Ar-4."
24,103-Ar 9,SB XIV 11577 (ZPE 21 [1976] 209) = P.Mich. IX 537 (cf. BL 8.372)0,"Karanis (Arsinoite), 20/10/104",Terpos d. Mines (s. Harpagathos) and Tapetheus,['Terpos'],['103-Ar 9-d1'],"['(1) Onnophris s. Phanomgeus (s. Onnophris) and Terpos [declarant], 5', '(2) Petesouchos s. Phanomgeus (s. Onnophris) and Terpos [declarant], 4', '(3) Phanomgeus s. Phanomgeus (s. Onnophris) and Terpos [declarant], 1', '(4) Terpos [declarant] d. Mines (s. Harpagathos) and Tapetheus [declarant], 35']",[],[],,"P.Mich, inv. 5869; checked by Traianos Gagos, Ludwig Koenen,","Small losses at both sides in the upper part, minor damage at the end. No loss of entries. The age of no.3 is uncertain."
25,103 Ar-10,SPP XXII 32 (cf. BL 8.480; BASP 28 [1991] 132-33),"Soknopaiou Nesos (Arsinoite), 105",Ptollous with kyrios NN s. Akousilaos,['Ptollous with kyrios NN'],['103 Ar-10-d1'],[],[],[],,"Vienna, inv. G 24886; seen 22/4/1991.",Broken at top with loss of introductory formulas; broken at left. This is evidently a registration of property in which no one is declared.
26,103-Ar-ll,"P.Lond. Ill 1221 (p. 24) (cf. BL 1.274, 8.187)0","Arsinoe, 105","Anchorimphis s. Anchorimphis (s. Areios) and Tamarkis (d. Panes- neus), workman",['Anchorimphis'],['103-Ar-ll-d1'],"['(1) Anchorimphis [declarant] s. Anchorimphis (s. Areios) and Tamarkis (d. Panesneus), workman, 43', '(2) Heraklous d. Peneus, wife of Anchorimphis [declarant], 25', '(3) Anchorimphis s. Anchorimphis [declarant] and Heraklous [no.2], 6']",[],[],workman,"London, BL inv. 1221; microfilm; original seen 3/4/1991.","Minor damage throughout; broken at bottom, just after end of names of persons."
27,103-Ar 12,Pap.Lugd.Bat. XIII12 (cf. BL 7.97)0,"Polemon Division (Arsinoite), 72-3/105","Orsenouphis s. Harphaesis (s. Harphaesis) andTapontos, idiotes",['Orsenouphis'],['103-Ar 12-d1'],"['(1) Orsenouphis [declarant] s. Harphaesis (s. Harphaesis) and Tapontos, idiotes, 20', '(2) Tapontos d. Harphaesis (s. Harphaesis) and Tapontos, sister of Orsenouphis [declarant], 14', '(3) Soumenis d. Harphaesis (s. Harphaesis) and Tapontos, sister of Orsenouphis [declarant], 8']",[],[],idiotes,"Vienna, inv. G 27705; seen 22/4/1991.",Minor losses only.
28,103-Ar 13,P.Mich. XV 693 (cf. BL 8.219),"Tebtunis (Arsinoite), 104/5","Didymos s. Herakleides alias Lourios, katoikos of the 6475",['Didymos'],['103-Ar 13-d1'],[],[],[],,"P.Mich, inv.5582; PL V.","Complete except at bottom, where nothing essential is lost. This is a declaration of property, in which no one is registered."
29,103-Ar-14,P.Heid. IV 298,"Theadelphia (Arsinoite), 104/5",Heron alias Theogiton s. Herod( ) (s. Philadelphos),['Heron alias Theogiton'],['103-Ar-14-d1'],"['(1) Chonsis s. Horos, age not given']",[],[],,"Heidelberg, inv. G 1696; Tafel VI.","Left side partly damaged; broken at bottom. Heron, a metropolite, declares a house in Theadelphia belonging to the children of C. Petronius Abaskantos, whose names are not given and whose phrontistes he is, in which a renter lives."
30,117 Ap 1,PAlex.Giss. 16 = SB X 10632,"Tanyaithis (Apoll.), 15/5/119",Hartbos s. Pachoumis,['Hartbos'],['117 Ap 1-d1'],"['(1) Hartbos [declarant] s. Pachoumis, age lost', '(2) NN s./d. Tazbes, age lost', '(3) NN, 29']",[],[],,Giessen inv. 236.,"Small upper fragment broken except at right has names of persons declared, number of lost persons unknown; lower part has date and name of declarant."
31,117 Ap 2,PAlex.Giss. 18 = SB X 10634,"Tanyaithis (Apoll.), 16/5/119","—oeris, s. Psais",['—oeris'],['117 Ap 2-d1'],[],[],[],,Giessen inv. 228; photograph.,"Only oath, date, and subscription preserved. Name of declarant preserved only in Demotic."
32,117-Ap-3,PAlex.Giss. 20 = SB X 10636 (cf. BASP 30 [1993] 35),"Tanyaithis (Apoll.), 118/9",Orsenouphis s. NN and Senmersis,['Orsenouphis'],['117-Ap-3-d1'],"['(1) Orsenouphis [declarant] s. NN and Senmersis, age lost', '(2) NN d. NN and Tazbes, wife of Orsenouphis [declarant], 29']",[],[],,Giessen inv. 234; photograph.,Broken after second (incomplete) entry; amount lost unknown.
33,117-Ap-4,P.Alex.Giss. 21 = SB X 10637,"Tanyaithis (Apoll.), 118/9",NN,['NN'],['117-Ap-4-d1'],"['(1) NN [declarant], farmer, age lost', '(2) —on s. [of declarant] and Senpachoumis, age lost', '(3) NN s./d. [of declarant and Senpachnoumis], age lost', '(4) NN, age lost']",[],[],,Giessen inv. 221; photograph.,"Opening lost; broken at right (ages lost); broken at bottom, apparently after end of enumeration of family (there may have been a fifth family mem- ber given in line 9)."
34,117-Ap 5,P.Brem. 32 = P.Alex.Giss. 17 = SB X 10633,"Tanyaithis (Apoll.), 6-24/5/119",Hartbos s. NN,['Hartbos'],['117-Ap 5-d1'],"['(1) Hartbos [declarant] s. NN, 65', '(2) Hartbos s. Hartbos [declarant] andTapeeis [no.5], age lost', '(3) Pachoumis s. Hartbos [declarant] and Tapeeis [no.5], brother of Hartbos [no.2], age lost', '(4) Bekis, s. Hartbos [declarant] and Tapeeis [no.5], brother of Hartbos [no.2], 2', '(5) Tapeeis d. Pachopsais, wife of Hartbos [declarant], age lost', '(6) Senorsenouphis d. Hartbos [declarant] and Tapeeis [no.5], 20+', '(7) Senosiris d. Hartbos [declarant] and Tapeeis [no.5], sister of Senorsenouphis [no.6], 16', '(8) Senrophis d. Orsenouphis, wife of Hartbos [no.2], 20']",[],[],,Bremen inv. 30; photograph.,Complete except for minor damage at right (some ages lost). Senor- senouphis' [no.6] age could have had a second (lost) numeral.
35,117-Ap-6,P.Brem. 33 = P.Alex.Giss. 19 = SB X 10635 (cf. BL 3.33; BASP 27,"Tanyaithis (Apoll.), 118/9",[Miusis s. NN],['Miusis'],['117-Ap-6-d1'],"['(1) [Miusis (declarant) s. NN], farmer, 59', '(2) Pachoumis s. Miusis [declarant] and Senpachompsais (d. Panechates) [no .4], farmer, 29', '(3) Pachoumis younger, s. Pachoumis [no.2] and Thatres (d. Hermaios) [no.7], 1', '(4) Senpachompsais d. Panechates, wife of Miusis [declarant], 53', '(5) Senosiris d. Miusis [declarant] and Senpachompsais [no.4], 24', '(6) Senartbos d. Miusis [declarant] and Senpachompsais [no.4], sister of Senosiris [no.5], 18', '(7) Thatres d. Hermaios, w. Pachoumis [no.2], 18', '(8) Senpachoumis born to Pachoumis [no.2], age lost (probably < 1)']",[],[],,Bremen inv. 85; photograph.,"Broken at end, where names could be lost. Upper left also lost with most of name(s) of declarant(s). [irp]eop(vrepop) for no.2 is uncertain; [vib]v seems possible. The available space is 1.0 cm., suitable for the latter reading, while the former would occupy about 1.5 cm."
36,117 Ap 7,"P.Giss. 43 = P.Alex.Giss. 14 = SB X 10630 (cf. BL 1.171, 3.68)","Tanyaithis (Apoll.), 15/5/119",Harpokration s. Dioskoros (s. Harmais) and Senorsenouphis (d. Psenanouphis),['Harpokration'],['117 Ap 7-d1'],"['(1) Harpokration [declarant] s. Dioskoros (s. Harmais) and Senorsenouphis (d. Psenanouphis), scribe, 70', '(2) Dioskoros s. Harpokration [declarant] and Senpachoumis d. Anompis [no.3], doctor, 17', '(3) Senpachoumis d. Anompis, wife of Harpokration [declarant], 39', '(4) Tazbes younger, d. Harpokration [declarant] and Senpachoumis [no.3], 15']",[],[],,Giessen inv. 9; photograph.,Complete. House belongs to Senonnophris d. Harpokration and sib- lings.
37,117-Ap-8,P.Giss. 44 = PAlex.Giss. 22 = SB X 10638,"Tanyaithis (Apoll.), 118/9",Name lost,['Name lost'],['117-Ap-8-d1'],"['(1) NN d. Orsenouphis, 39', '(2) Senpsenchosis d. —phis, 18', '(3) Senpachoumis younger, daughter [of NN and Senpsenchosis [no.2]?], 2']","['(1) Tatriphis freedw. Tazbes, 36', '(2) Spatala freedw. Senorsenouphis, 35']","['(1) Trontpaisis slave of Senorsenouphis, 3']",,Giessen inv. 77; photograph.,"Broken at top; several names must be lost at start of list, including Tazbes (patron of Tatriphis) and Senorsenouphis (owner of Trontpaisis and patron of Spatalos) and all males in the household. Broken at bottom, with subscription missing."
38,117 Ap 9,P.Giss.inv. 227 + P.Brem. 34 = PAlex.Giss. 15 = SB X 10631,"Tanyaithis (Apoll.), 15/5/119",Horos s. Pachomos (s. Pachompsais) and Tateathyris,['Horos'],['117 Ap 9-d1'],"['(1) Horos [declarant] s. Pachomos (s. Pachompsais) and Tateathyris, age lost', '(2) Pachomos, s. Horos [declarant], age lost', '(3) Senpatokam[, age lost']",[],[],,Giss. inv. 227 + Brem. inv. 67 (photographs).,"Broken at right, where ages lost; complete otherwise."
39,117-Ar 1,"P. Corn. 16.21-38 (cf. BL 2.2.49, 3.46, 4.24, 6.31; BASP 2% [1991] 19-","Arsinoe, 18/3/119","Philippiaina d. Zoilos (s. Apollonios) with kyrios her husband Ploution s. Komon, katoikos",['Philippiaina'],['117-Ar 1-d1'],"['(1) Zois d. Herakleides (s. Sokrates), 53', '(2) Sokrates s. Dioskoros and Zois [no.l], 32', '(3) Aphrodous d. Dioskoros and Zois [no.l], 33', '(4) Aphrodous d. Dioskoros and Zois [no.l], wife of Sokrates [no.2] her brother, 28', '(5) Isarous, paternal aunt of Sokrates et al. [nos. 2-4], 70']",[],[],,"Michigan, P.Corn. inv. II, 16; seen 9/11/1990.","Complete. Philippiaina is declaring the inhabitants of two properties she owns but in which she does not reside. This is an extract, but there is no indication of any omitted persons. The line numbers are given above for the complete text (BASP 28 [1991] 19-27); this section is lines 1-18 in the first edition. Cf. 131-Ar-3."
