,household_number_year,household_number_location,household_number_order,source,provenance,provenance_place,provenance_year,declarant_name_1,declarant_name_2,declarant_name_3,declarant_name_4,declarant_name_5,declarant_ids,declarant_occupation,number_of_family_members,number_of_non_family_members,number_of_slaves,verif_photo,discussion_text,discussion_indicates_substantive_record_brokenness
30,117,Ap,1,PAlex.Giss. 16 = SB X 10632,"Tanyaithis (Apoll.), 15/5/119",Tanyaithis (Apoll.), 15/5/119,Hartbos,,,,,['117 Ap 1-d1'],,3,0,0,Giessen inv. 236.,"Small upper fragment broken except at right has names of persons declared, number of lost persons unknown; lower part has date and name of declarant.",Yes
31,117,Ap,2,PAlex.Giss. 18 = SB X 10634,"Tanyaithis (Apoll.), 16/5/119",Tanyaithis (Apoll.), 16/5/119,—oeris,,,,,['117 Ap 2-d1'],,0,0,0,Giessen inv. 228; photograph.,"Only oath, date, and subscription preserved. Name of declarant preserved only in Demotic.",No
32,117,Ap,3,PAlex.Giss. 20 = SB X 10636 (cf. BASP 30 [1993] 35),"Tanyaithis (Apoll.), 118/9",Tanyaithis (Apoll.), 118/9,Orsenouphis,,,,,['117-Ap-3-d1'],,2,0,0,Giessen inv. 234; photograph.,Broken after second (incomplete) entry; amount lost unknown.,Yes
33,117,Ap,4,P.Alex.Giss. 21 = SB X 10637,"Tanyaithis (Apoll.), 118/9",Tanyaithis (Apoll.), 118/9,NN,,,,,['117-Ap-4-d1'],,4,0,0,Giessen inv. 221; photograph.,"Opening lost; broken at right (ages lost); broken at bottom, apparently after end of enumeration of family (there may have been a fifth family mem- ber given in line 9).",Yes
34,117,Ap,5,P.Brem. 32 = P.Alex.Giss. 17 = SB X 10633,"Tanyaithis (Apoll.), 6-24/5/119",Tanyaithis (Apoll.), 6-24/5/119,Hartbos,,,,,['117-Ap 5-d1'],,8,0,0,Bremen inv. 30; photograph.,Complete except for minor damage at right (some ages lost). Senor- senouphis' [no.6] age could have had a second (lost) numeral.,No
35,117,Ap,6,P.Brem. 33 = P.Alex.Giss. 19 = SB X 10635 (cf. BL 3.33; BASP 27,"Tanyaithis (Apoll.), 118/9",Tanyaithis (Apoll.), 118/9,Miusis,,,,,['117-Ap-6-d1'],,8,0,0,Bremen inv. 85; photograph.,"Broken at end, where names could be lost. Upper left also lost with most of name(s) of declarant(s). [irp]eop(vrepop) for no.2 is uncertain; [vib]v seems possible. The available space is 1.0 cm., suitable for the latter reading, while the former would occupy about 1.5 cm.",Yes
36,117,Ap,7,"P.Giss. 43 = P.Alex.Giss. 14 = SB X 10630 (cf. BL 1.171, 3.68)","Tanyaithis (Apoll.), 15/5/119",Tanyaithis (Apoll.), 15/5/119,Harpokration,,,,,['117 Ap 7-d1'],,4,0,0,Giessen inv. 9; photograph.,Complete. House belongs to Senonnophris d. Harpokration and sib- lings.,No
37,117,Ap,8,P.Giss. 44 = PAlex.Giss. 22 = SB X 10638,"Tanyaithis (Apoll.), 118/9",Tanyaithis (Apoll.), 118/9,Name lost,,,,,['117-Ap-8-d1'],,3,2,1,Giessen inv. 77; photograph.,"Broken at top; several names must be lost at start of list, including Tazbes (patron of Tatriphis) and Senorsenouphis (owner of Trontpaisis and patron of Spatalos) and all males in the household. Broken at bottom, with subscription missing.",Yes
38,117,Ap,9,P.Giss.inv. 227 + P.Brem. 34 = PAlex.Giss. 15 = SB X 10631,"Tanyaithis (Apoll.), 15/5/119",Tanyaithis (Apoll.), 15/5/119,Horos,,,,,['117 Ap 9-d1'],,3,0,0,Giss. inv. 227 + Brem. inv. 67 (photographs).,"Broken at right, where ages lost; complete otherwise.",Yes
39,117,Ar,1,"P. Corn. 16.21-38 (cf. BL 2.2.49, 3.46, 4.24, 6.31; BASP 2% [1991] 19-","Arsinoe, 18/3/119",Arsinoe, 18/3/119,Philippiaina,,,,,['117-Ar 1-d1'],,5,0,0,"Michigan, P.Corn. inv. II, 16; seen 9/11/1990.","Complete. Philippiaina is declaring the inhabitants of two properties she owns but in which she does not reside. This is an extract, but there is no indication of any omitted persons. The line numbers are given above for the complete text (BASP 28 [1991] 19-27); this section is lines 1-18 in the first edition. Cf. 131-Ar-3.",No
40,117,Ar,2,P.Fouad 15 (cf. BASP 30 [1993] 41),"Arsinoe, 119",Arsinoe, 119,Name lost,,,,,['117-Ar-2-d1'],,6,0,0,"Cairo, Societe Egyptienne, inv. 37 recto; photograph.","Broken at top, with loss of address; at left to a varying degree; and at bottom with trivial loss. Declarant registers renters of a house belonging to him/her.",Yes
41,117,Ar,3,"P.Brux. 19 = SB V 8263 (cf. P.Harr. II, pp. 52-53; BASP 30 [1993]","Arsinoe, 117/8",Arsinoe, 117/8,Theon,,,,,['117 Ar-3-d1'],,2,5,4,P.Brux.inv. E 7360; photograph.,"Top lost, otherwise almost complete. Ed. describes Laberia as the declarant, but her place in the start of the list of women, after the men, shows that this is not correct. The declarant must have been her husband Theon, who is mentioned in her entry. The first, partly preserved, male entry is that of a renter; Theon and an unknown number of other free males appeared in the lost part of the declaration. This is an extract from the original. The date is inferred but virtually certain. See P.Harr. II pp. 52-53 and BASP 30 (1993) 36-38 for discussion.",No
42,117,AM,,P.Mich. Ill 178 (cf. BL 7.108-09),"Bacchias (Arsinoite), 5/5/119",Bacchias (Arsinoite), 5/5/119,Horos,,,,,['117-AM-d1'],public farmer,7,0,0,"P.Mich, inv. 106; PI. V; seen 9/11/1990.","Virtually complete. The editors read the age of Horion [no.4] as 1 (a). 30 (X) is equally possible. The age of Thenatymis [no.6], read by the editor as 31 (Xa) and Youtie as 39 (X0), looks most like 32 (X/3), but the second digit is probably a theta correcting some other letter (maybe beta). See 89- Ar-1 and 103-Ar-8.",No
43,117,Ar,5,BGU VII 1579,"Kerk(esoucha?) (Arsinoite), 118/9",Kerk(esoucha?) (Arsinoite), 118/9,Tnepheros,,,,,['117 Ar 5-d1'],,4,0,0,Formerly Berlin P. 11489; lost in World War II.,"Apparently complete, but with no date. The house belongs to Pnepheros, the minor son of the declarant.",No
44,117,Ar,6,BGU VII 1580,"Philadelphia (Arsinoite), 6/6/119",Philadelphia (Arsinoite), 6/6/119,NN,,,,,['117 Ar 6-d1'],,5,0,0,Formerly Berlin P.I 1496; lost in World War II.,Broken at the top; many small lacunae.,Yes
45,117,Ar,7,BGU III 706 (cf. BL 1.60)0,"Soknopaiou Nesos (Arsinoite), ca 118",Soknopaiou Nesos (Arsinoite), ca 118,Harpagathes,,,,,['117 Ar 7-d1'],priest of the 4th tribe,10,0,3,"Berlin, P.7161; seen 15/4/1991.","Broken at left and right, with loss at right of all ages and some names. Broken at bottom with possible loss of additional persons. The editor does not restore the names of Pekysis (lines 12 and 21) and Herieus (line 4), but they appear inescapable, and the listing above assumes the correctness of these restorations.",Yes
46,117,Ar,8,P.Monac. Ill 70,"Arsinoe, 6/4/119",Arsinoe, 6/4/119,Philoumene,,,,,['117 Ar 8-d1'],,1,4,1,"Munich, P.Graec.Mon. 16; Abb. 18.","Broken at top and left; most names and ages are lost, but apparently no complete entries. The four non-kin are renters.",Yes
47,117,Ar,9,P.Corn. 16.14-20 (cf. BASP2Z [1991] 19-27),"Arsinoe, 119",Arsinoe, 119,Name lost,,,,,['117 Ar 9-d1'],,1,0,0,"Michigan, P.Corn. inv. II, 16; seen 9/11/1990.","Mentioned in the introduction to the first edition but not published. This is an extract, most of which is lost at left; its brevity suggests that much was omitted, and it cannot be determined if the original included other per- sons.",No
48,117,Ar,lO,CPR XV 24,"Arsinoe, 119",Arsinoe, 119,Hermas,,,,,['117-Ar-lO-d1'],,1,0,0,"Vienna, inv. G 24602; seen 25/4/1991.","Broken at bottom and with varying losses at right. Copy of a declara- tion, appended to a declaration of birth. Hermas declares a property inhabited by renters. The declaration breaks off in the middle of the listing of the first of these.",Yes
49,117,Ar,11,"P.Lond. inv. 1570b (Cd'E, forthcoming)","Arsinoite, 119 (?)",Arsinoite, 119 (?),Zoilos,,,,,['117 Ar 11-d1'],,12,0,0,"London, British Library, inv. 1570b; seen 3/4/1991.","Broken at top and left. The provenance is based on the distinctively Arsinoite combination of names. The date is inferred, see the publication in Cd'E. This is apparently a copy from a register entry derived from a declara- tion. Some of the persons listed were included in the lost portion, where still others (probably males) may well have been listed. The reconstruction of the relationships is in some points very uncertain.",Yes
50,117,Ox,1,P.Oxy. IV 786 descr. (cf. BL 4.60),"Oxyrhynchos, 25/1/119",Oxyrhynchos, 25/1/119,Ariston,,,,,['117 Ox-1-d1'],,0,0,0,Cairo inv. JE 43434; photograph.,"Only the end is preserved, with all declared persons lost before the preserved part. The phrasing of the closing suggests that some persons were declared.",No
51,117,Ox,2,P.Oxy. XII 15470,"Oxyrhynchos, 24/1/119",Oxyrhynchos, 24/1/119,Petosiris,,,,,['117-Ox-2-d1'],,5,0,2,"Cairo, inv. JE 47492; photograph in Ashmolean, seen 5/4/1991.","Fairly complete, but extensive minor damage throughout and badly abraded over much of the surface. We assume that the first-named male (line 16) is the declarant, and that his name is to be restored as the patronymic of Ti— (line 17). We also restore Tetoeus as the name of the only free female person registered (line 25). It is not clear what the relationship of Apollonides [no.3] is to the others. Petosiris declares another house, unoccupied. Another person is listed in line 32, but the situation is unclear.",No
52,131,Ar,l,BGU1132 (cf. BL 1.22),"Arsinoe, 132/3",Arsinoe, 132/3,Name lost,,,,,['131-Ar-l-d1'],,4,0,0,"Berlin, P.1354; seen 16/4/1991.","In two columns, apparently an extract or extracts. Col. i is broken at the left and the entire papyrus at the bottom. The relationship of the two is unclear, but a great deal is lost in col. i, which gives no connected sense. It seems best to consider only col. ii, children whose parents were mentioned earlier. All of the children are described as ^(rpbq) rrjc; a(vTrjc;).",Yes
53,131,Ar,2,BGU1182.16-22,"Arsinoe, 132/3",Arsinoe, 132/3,NN,,,,,['131-Ar-2-d1'],,1,0,0,"Berlin, P.7145; seen 12/4/1991.","Only the upper part is preserved, breaking off just after nod elfii; above it on the papyrus is 145-Ar-6. Broken also at left and right. The iden- tification of the declarant as female is based on the placement of the name Diodoros, which must be part of the name of a kyrios, not an ascendant of the declarant.",Yes
54,131,Ar,3,"P.Corn. 16.39-58 (cf. BL 2.2.49, 3.46, 4.24; BASP2S [1991] 19-27)","Arsinoe, 22/7/133",Arsinoe, 22/7/133,Ploution,,,,,['131-Ar-3-d1'],,7,0,0,"Michigan, P.Corn. inv. II, 16; seen 9/11/1990.",Complete except for minor damage. Declarant registers renters of a house he owns but does not live in. The age of no.3 cannot be verified in the current condition of the papyrus. Cf. 117-Ar-l.,No
55,131,Ar,4,"P.Giss.Univ.Bibl. 114 (cf. BL 2.2.67, 3.68, 4.34)0","Apias (Arsinoite), 132/3",Apias (Arsinoite), 132/3,Saras,,,,,['131-Ar-4-d1'],,1,0,0,P.Giss.Univ.Bibl. inv. 197; photograph.,"Broken at left and at bottom, with minor losses at both. The household is complete.",Yes
56,131,Ar,5,BGUI 53 (cf. BL 1.12),"Dionysias (Arsinoite), 24/7/133",Dionysias (Arsinoite), 24/7/133,Ioulia Krispina through phrontistes Horos,,,,,['131-Ar-5-d1'],,0,0,0,"Berlin, P.6880; seen 15/4/1991.","Complete. Only property (two houses with courtyards) is declared, no persons.",No
57,131,Ar,6,SB XII 10842 = Cd'E 46 (1971) 120-28 = P.Tebt. II 522 descr.,"Ibion Eikosipentarouron (Arsinoite), 4/8/133",Ibion Eikosipentarouron (Arsinoite), 4/8/133,Herakleides,,,,,['131-Ar-6-d1'],former gym- nasiarch,0,0,0,"Berkeley, P.Tebt. 522; seen 28/9/1990.","Complete at top and bottom, some damage at the sides and scattered throughout. Herakleides lives in Arsinoe; this is a declaration of property in Ibion Eikosipentarouron in which no one is registered.",No
58,131,Ar,7,P.Tebt. II 566 = Aegyptus 72 (1992) 64-66 (cf. Archiv 6 [1920] 144 and,"Samareia (Arsinoite), 133",Samareia (Arsinoite), 133,Ptolemaios,,,,,['131 Ar 7-d1'],,1,0,0,"Berkeley, P.Tebt. 566; seen 28/9/1990.","Broken at the bottom, just after the indication that no one is registered in the property. In Archiv one finds lines 1-2 (p. 144) and 3-4 (p. 222); the full text is published in Aegyptus.",Yes
59,131,Ar,8,P.Bad. VI169 (cf. BL 8.16),"Tebtunis (Arsinoite), 132/3",Tebtunis (Arsinoite), 132/3,Harpochration,,,,,['131-Ar-8-d1'],priest,2,0,0,"Heidelberg Universitatsbibliothek, inv. 2077; photograph.","Broken at left and below, in middle of list of persons.",Yes
60,131,Ar,9,BGU XIII 22200,"Soknopaiou Nesos? (Arsinoite), 133",Soknopaiou Nesos? (Arsinoite), 133,Apion,,,,,['131-Ar-9-d1'],,0,0,0,"W. Berlin, P.21706; seen 11/4/1991.","Fragment from upper left corner of document. It comes from excava- tions at Soknopaiou Nesos (which there is room to restore in line 3), but editor refrains from giving any provenance except ""Fayum."" Nothing preserved of the section listing any individuals.",No
61,131,Ar,10,"BulIAinShams 1 (1985) 38-40, no.10","Theadelphia (Arsinoite), 2/5/133",Theadelphia (Arsinoite), 2/5/133,Lykos,Deios,,,,"['131-Ar-10-d1', '131-Ar-10-d2']",public farmer,2,0,0,"Cairo, SR 3049/69; photograph; original not found 2/4/1993.",Complete.,No
62,131,Ar,ll,"P.Graux inv. 937 (cf. AEPHE 1931-32, 3-19; BASP 30 [1993] 43-45)","Arsinoe, 133",Arsinoe, 133,Not preserved; two or more members of a family,,,,,['131-Ar-ll-d1'],,6,0,0,"Paris, Institut de Papyrologie, Sorbonne, P.Graux inv. 937;","Broken at top, bottom, left, and partially at right, with much internal damage. Some persons are certainly lost. Probably this is a household with two or three siblings and their (spouses and) children living together.",Yes
63,131,Be,l,"P.Hamb. I 7 (cf. BL 1.193, BASP2S [1991] 29-31)0","Peptaucha (Berenike), 30/6/132",Peptaucha (Berenike), 30/6/132,Niktathymis,,,,,['131-Be-l-d1'],,5,0,0,"Hamburg, inv. 68; Tafel IV; photograph.","Complete except for scattered damage, especially a strip from the mid- dle part of the left side. yv(prj) is both times followed by K\O)( ), the sense of which is obscure. No indication is given of the relationship of nos. 4 and 5 to nos. 1-3.",No
64,131,He,1,P.Oslo III 98 (cf. BL 3.126; 8.229)0,"Herakleopolis, 132/3",Herakleopolis, 132/3,Semtheus,,,,,['131 He 1-d1'],,1,0,0,"Oslo; P.Oslo III, pi. IV.","Almost complete, with minor damage at foot. Ends of a few lines of a preceding column with another declaration survive. Cf. 145-He-l.",No
